"*metacsv_format_file*"
"dataset_name",""
"source_file_name",""
"project_name",""
"description",""
"keywords",""
"data_source",""
"r_script_source",""
"file_creation_date",""
"last_modified_date",""
"version_number",""
"version_history",""
"editor_name_history",""
"data_collection_start_date",""
"data_collection_end_date",""
"data_collection_location",""
"species",""
"life_stage",""
"data_entered_by",""
"data_contributor",""
"data_owner",""
"institution",""
"data_point_of_contact",""
"data_POC_email",""
"archive_link",""
"how_to_cite",""
"acknowledgements",""
"related_datasets",""
"***"
"variable_name","variable_long_name","units","description","data_type","format","missing_value_indicator","instrument","variable_min","variable_max"
"Final E0","","","","","","","","",""
"0.418849","","","","","","","","",""
"###"
"Final E0","0.418849"
"Total Alkalinity","2130.79"
"Salinity","33.582"
"Sample Size","129.390"
"sample temp","22"
"Electrode ID","00000000"
"HCl Information","01JAN14 [00]"
"HCl Concentration","0.090500"
"Density Func.","-0.00000380*x^2-0.0001210*x+1.02902"
"HCl Temp (Uncorr)","24.21"
"HCl T Corr. Func.","x*1"
"Dosimat Corr. Function","1.00000*x-0.00001*x^2"
"Date and Time","27Jul19 14:15:08"
"Cell Temp Mean (Uncorr)","26.506"
"Cell Temp Std Dev","0.001"
"Cell T Corr. Func.","x*1"
"First point","0.000000"
"Last point","17.000000"
"mse","0.0000000226"
"Flag","Reject"
"Total HCl (mL) (Uncorr)","EMF (V)"
"3.544000","0.216119"
"3.594000","0.218278"
"3.644000","0.220274"
"3.694000","0.222139"
"3.744000","0.223846"
"3.794000","0.225512"
"3.844000","0.227037"
"3.894000","0.228484"
"3.944000","0.229857"
"3.994000","0.231139"
"4.044000","0.232405"
"4.094000","0.233585"
"4.144000","0.234724"
"4.194000","0.235806"
"4.244000","0.236834"
"4.294000","0.237856"
"4.344000","0.238813"
"4.394000","0.239744"
"4.444000","0.240640"
"4.494000","0.241490"
"4.544000","0.242347"
"4.594000","0.243160"
